Order_ID,Customer_ID,Product_ID,Quantity,Order_Date,Order_Time,Delivery_Date,Delivery_Time,Location,Occasion,Hour(delivery),Hour(order),products.Price (INR),diff-order-delivery,Month Name,Revenue,Calculated Column 1
316,C048,2,5,11-02-2023,21:35:05,15-02-2023,07:21:50,Muzaffarnagar,Valentine's Day,7,21,441,4,February,2205,Saturday
350,C020,19,3,13-02-2023,12:22:57,22-02-2023,16:26:10,Kolkata,Valentine's Day,16,12,1234,9,February,3702,Monday
366,C033,3,3,08-02-2023,23:15:47,16-02-2023,10:51:38,Kolkata,Valentine's Day,10,23,1534,8,February,4602,Wednesday
399,C008,68,1,08-02-2023,06:21:47,15-02-2023,07:08:14,Bareilly,Valentine's Day,7,6,597,7,February,597,Wednesday
405,C033,49,1,10-02-2023,23:05:14,18-02-2023,14:47:38,Guwahati,Valentine's Day,14,23,903,8,February,903,Friday
416,C006,58,5,12-02-2023,16:41:02,17-02-2023,09:37:01,Saharanpur,Valentine's Day,9,16,1492,5,February,7460,Sunday
423,C067,19,1,11-02-2023,16:46:58,17-02-2023,00:10:05,Alappuzha,Valentine's Day,0,16,1234,6,February,1234,Saturday
426,C073,2,2,13-02-2023,22:59:54,17-02-2023,13:51:00,Kharagpur,Valentine's Day,13,22,441,4,February,882,Monday
442,C023,3,3,08-02-2023,18:03:20,15-02-2023,08:05:39,Khandwa,Valentine's Day,8,18,1534,7,February,4602,Wednesday
443,C046,49,3,04-02-2023,22:22:19,13-02-2023,02:16:00,Secunderabad,Valentine's Day,2,22,903,9,February,2709,Saturday
446,C079,33,5,12-02-2023,02:54:04,15-02-2023,11:03:28,Bokaro,Valentine's Day,11,2,314,3,February,1570,Sunday
449,C045,49,4,13-02-2023,03:18:26,16-02-2023,10:09:41,Ichalkaranji,Valentine's Day,10,3,903,3,February,3612,Monday
451,C079,33,5,07-02-2023,00:16:52,13-02-2023,21:10:57,Ujjain,Valentine's Day,21,0,314,6,February,1570,Tuesday
454,C088,3,2,07-02-2023,23:26:49,09-02-2023,01:21:56,Suryapet,Valentine's Day,1,23,1534,2,February,3068,Tuesday
456,C071,33,2,12-02-2023,22:51:39,15-02-2023,22:14:06,Nangloi Jat,Valentine's Day,22,22,314,3,February,628,Sunday
477,C099,33,4,12-02-2023,17:18:09,14-02-2023,03:11:52,Gangtok,Valentine's Day,3,17,314,2,February,1256,Sunday
478,C003,11,5,08-02-2023,01:11:21,09-02-2023,09:50:19,Ambarnath,Valentine's Day,9,1,1096,1,February,5480,Wednesday
479,C071,11,1,07-02-2023,17:48:21,11-02-2023,10:48:13,Ghaziabad,Valentine's Day,10,17,1096,4,February,1096,Tuesday
490,C075,2,1,12-02-2023,12:28:03,14-02-2023,12:27:19,Eluru,Valentine's Day,12,12,441,2,February,441,Sunday
492,C047,33,2,04-02-2023,13:54:25,13-02-2023,12:04:33,Salem,Valentine's Day,12,13,314,9,February,628,Saturday
493,C035,11,1,05-02-2023,22:11:24,06-02-2023,15:43:11,Gopalpur,Valentine's Day,15,22,1096,1,February,1096,Sunday
496,C021,11,4,09-02-2023,14:31:57,16-02-2023,13:05:41,Sambhal,Valentine's Day,13,14,1096,7,February,4384,Thursday
498,C100,19,4,13-02-2023,21:34:44,20-02-2023,21:14:24,Bhusawal,Valentine's Day,21,21,1234,7,February,4936,Monday
519,C014,52,4,07-02-2023,23:10:38,15-02-2023,06:40:20,Hindupur,Valentine's Day,6,23,236,8,February,944,Tuesday
521,C062,33,5,04-02-2023,21:00:17,08-02-2023,02:28:38,Noida,Valentine's Day,2,21,314,4,February,1570,Saturday
527,C036,33,3,11-02-2023,12:51:40,19-02-2023,15:58:07,Bardhaman,Valentine's Day,15,12,314,8,February,942,Saturday
561,C099,49,5,12-02-2023,12:24:35,21-02-2023,17:23:34,Ghaziabad,Valentine's Day,17,12,903,9,February,4515,Sunday
563,C077,58,5,11-02-2023,11:43:18,19-02-2023,05:04:29,Jorhat,Valentine's Day,5,11,1492,8,February,7460,Saturday
573,C040,3,5,08-02-2023,02:52:06,14-02-2023,02:57:06,Thane,Valentine's Day,2,2,1534,6,February,7670,Wednesday
575,C076,49,2,06-02-2023,13:24:32,09-02-2023,14:55:08,Kota,Valentine's Day,14,13,903,3,February,1806,Monday
582,C019,3,4,04-02-2023,18:30:31,05-02-2023,19:16:41,Latur,Valentine's Day,19,18,1534,1,February,6136,Saturday
588,C056,49,5,04-02-2023,06:37:00,05-02-2023,21:21:57,Kishanganj,Valentine's Day,21,6,903,1,February,4515,Saturday
593,C016,58,3,05-02-2023,17:30:40,12-02-2023,09:34:03,Bhilai,Valentine's Day,9,17,1492,7,February,4476,Sunday
606,C047,3,5,08-02-2023,02:13:13,17-02-2023,07:31:32,Sambalpur,Valentine's Day,7,2,1534,9,February,7670,Wednesday
628,C061,11,5,10-02-2023,21:50:27,13-02-2023,21:07:46,Ongole,Valentine's Day,21,21,1096,3,February,5480,Friday
633,C031,52,5,10-02-2023,14:44:42,15-02-2023,05:12:46,Surat,Valentine's Day,5,14,236,5,February,1180,Friday
651,C017,11,4,13-02-2023,02:16:28,19-02-2023,11:55:54,Panihati,Valentine's Day,11,2,1096,6,February,4384,Monday
656,C032,68,2,05-02-2023,18:34:41,06-02-2023,04:46:00,Dehri,Valentine's Day,4,18,597,1,February,1194,Sunday
659,C048,19,5,05-02-2023,17:44:56,12-02-2023,22:37:43,Silchar,Valentine's Day,22,17,1234,7,February,6170,Sunday
660,C053,58,3,11-02-2023,06:08:46,21-02-2023,20:48:35,Amravati,Valentine's Day,20,6,1492,10,February,4476,Saturday
669,C035,68,5,10-02-2023,07:11:50,17-02-2023,09:56:42,Ludhiana,Valentine's Day,9,7,597,7,February,2985,Friday
673,C008,33,3,04-02-2023,05:54:49,07-02-2023,04:25:38,Gaya,Valentine's Day,4,5,314,3,February,942,Saturday
674,C065,68,2,07-02-2023,09:41:25,16-02-2023,23:40:25,Chennai,Valentine's Day,23,9,597,9,February,1194,Tuesday
711,C093,68,3,04-02-2023,17:15:28,06-02-2023,14:50:53,Tiruppur,Valentine's Day,14,17,597,2,February,1791,Saturday
718,C028,49,1,09-02-2023,05:13:35,13-02-2023,06:22:05,Jabalpur,Valentine's Day,6,5,903,4,February,903,Thursday
721,C022,3,5,07-02-2023,03:28:21,17-02-2023,18:28:02,Vasai-Virar,Valentine's Day,18,3,1534,10,February,7670,Tuesday
728,C073,52,2,08-02-2023,13:45:46,11-02-2023,16:07:16,Panchkula,Valentine's Day,16,13,236,3,February,472,Wednesday
734,C008,49,3,11-02-2023,11:44:37,14-02-2023,09:06:06,Morena,Valentine's Day,9,11,903,3,February,2709,Saturday
750,C022,19,3,08-02-2023,09:22:41,14-02-2023,22:24:42,Chapra,Valentine's Day,22,9,1234,6,February,3702,Wednesday
752,C034,3,5,10-02-2023,11:38:01,12-02-2023,10:35:58,Bally,Valentine's Day,10,11,1534,2,February,7670,Friday
757,C001,2,3,12-02-2023,10:23:53,20-02-2023,04:40:28,Shivpuri,Valentine's Day,4,10,441,8,February,1323,Sunday
779,C052,3,1,06-02-2023,06:26:37,08-02-2023,02:51:51,Durgapur,Valentine's Day,2,6,1534,2,February,1534,Monday
780,C070,33,2,10-02-2023,11:30:51,13-02-2023,04:28:25,Bikaner,Valentine's Day,4,11,314,3,February,628,Friday
789,C048,58,4,08-02-2023,18:19:36,15-02-2023,08:00:31,Bally,Valentine's Day,8,18,1492,7,February,5968,Wednesday
793,C095,58,5,05-02-2023,17:37:16,15-02-2023,01:28:17,Mirzapur,Valentine's Day,1,17,1492,10,February,7460,Sunday
804,C009,3,3,05-02-2023,05:37:18,07-02-2023,01:58:08,Deoghar,Valentine's Day,1,5,1534,2,February,4602,Sunday
838,C003,19,3,09-02-2023,10:18:01,17-02-2023,06:09:40,Sirsa,Valentine's Day,6,10,1234,8,February,3702,Thursday
843,C007,68,1,11-02-2023,21:46:03,12-02-2023,19:27:09,Bikaner,Valentine's Day,19,21,597,1,February,597,Saturday
864,C033,11,1,11-02-2023,19:34:22,15-02-2023,08:05:38,Lucknow,Valentine's Day,8,19,1096,4,February,1096,Saturday
865,C032,19,1,12-02-2023,18:09:14,13-02-2023,06:38:00,Kumbakonam,Valentine's Day,6,18,1234,1,February,1234,Sunday
869,C032,3,5,06-02-2023,10:03:19,11-02-2023,23:16:28,Hazaribagh,Valentine's Day,23,10,1534,5,February,7670,Monday
874,C010,68,1,11-02-2023,12:42:30,21-02-2023,17:35:44,Ramagundam,Valentine's Day,17,12,597,10,February,597,Saturday
879,C092,33,2,07-02-2023,05:34:34,10-02-2023,11:27:38,Kishanganj,Valentine's Day,11,5,314,3,February,628,Tuesday
891,C027,58,2,08-02-2023,14:56:43,16-02-2023,23:54:45,Shivpuri,Valentine's Day,23,14,1492,8,February,2984,Wednesday
892,C025,11,4,06-02-2023,18:33:04,07-02-2023,01:26:54,Thrissur,Valentine's Day,1,18,1096,1,February,4384,Monday
898,C018,52,1,09-02-2023,06:18:52,13-02-2023,23:13:42,Kadapa,Valentine's Day,23,6,236,4,February,236,Thursday
904,C013,2,4,12-02-2023,22:05:48,17-02-2023,01:05:37,Mira-Bhayandar,Valentine's Day,1,22,441,5,February,1764,Sunday
905,C080,58,1,10-02-2023,19:31:35,16-02-2023,08:32:14,Ichalkaranji,Valentine's Day,8,19,1492,6,February,1492,Friday
906,C100,49,3,06-02-2023,01:16:20,16-02-2023,09:14:48,Jalandhar,Valentine's Day,9,1,903,10,February,2709,Monday
914,C048,33,4,09-02-2023,14:52:18,14-02-2023,09:47:20,Sambhal,Valentine's Day,9,14,314,5,February,1256,Thursday
916,C063,33,2,06-02-2023,04:23:09,14-02-2023,21:19:24,Darbhanga,Valentine's Day,21,4,314,8,February,628,Monday
918,C083,19,2,12-02-2023,18:13:06,21-02-2023,22:02:06,Pali,Valentine's Day,22,18,1234,9,February,2468,Sunday
952,C027,49,4,12-02-2023,02:48:07,22-02-2023,09:19:09,Bidar,Valentine's Day,9,2,903,10,February,3612,Sunday
967,C041,68,4,12-02-2023,00:21:23,20-02-2023,18:29:48,Siliguri,Valentine's Day,18,0,597,8,February,2388,Sunday
989,C017,52,3,06-02-2023,08:11:27,15-02-2023,02:00:04,Bidhannagar,Valentine's Day,2,8,236,9,February,708,Monday
994,C004,68,2,13-02-2023,22:44:36,21-02-2023,06:45:30,Chandigarh,Valentine's Day,6,22,597,8,February,1194,Monday
997,C098,19,2,04-02-2023,04:28:27,10-02-2023,11:50:24,Vasai-Virar,Valentine's Day,11,4,1234,6,February,2468,Saturday
999,C054,52,2,06-02-2023,22:40:49,10-02-2023,12:29:21,Miryalaguda,Valentine's Day,12,22,236,4,February,472,Monday
1,C037,67,5,24-02-2023,23:48:13,05-03-2023,07:27:10,Bardhaman,Anniversary,7,23,1374,9,February,6870,Friday
55,C040,5,1,08-02-2023,08:01:07,13-02-2023,07:42:58,Kottayam,All Occasions,7,8,1444,5,February,1444,Wednesday
31,C029,7,5,28-02-2023,13:13:22,03-03-2023,23:35:49,Nandyal,Holi,23,13,409,3,February,2045,Tuesday
47,C013,7,5,26-02-2023,13:04:28,28-02-2023,06:00:20,Jaipur,Holi,6,13,409,2,February,2045,Sunday
10,C099,56,3,26-02-2023,00:17:26,08-03-2023,20:47:43,Ambala,Anniversary,20,0,1272,10,February,3816,Sunday
13,C024,20,3,24-02-2023,16:47:16,04-03-2023,02:27:37,Gandhidham,Anniversary,2,16,697,8,February,2091,Friday
16,C013,20,3,16-02-2023,15:06:11,20-02-2023,22:14:21,Khammam,Anniversary,22,15,697,4,February,2091,Thursday
21,C090,32,1,09-02-2023,11:20:52,12-02-2023,11:36:26,Bathinda,Birthday,11,11,1792,3,February,1792,Thursday
42,C080,35,1,26-02-2023,00:08:38,07-03-2023,17:18:28,Faridabad,Holi,17,0,1865,9,February,1865,Sunday
57,C090,35,5,26-02-2023,08:00:15,06-03-2023,12:27:32,Ahmedabad,Holi,12,8,1865,8,February,9325,Sunday
66,C017,35,5,26-02-2023,21:00:44,27-02-2023,06:25:58,Munger,Holi,6,21,1865,1,February,9325,Sunday
81,C053,1,5,22-02-2023,18:29:21,03-03-2023,07:09:32,Kalyan-Dombivli,All Occasions,7,18,1935,9,February,9675,Wednesday
91,C061,6,2,27-02-2023,13:52:56,05-03-2023,13:23:25,Mahbubnagar,Holi,13,13,1112,6,February,2224,Monday
103,C097,18,3,01-02-2023,12:24:59,08-02-2023,22:51:39,Ichalkaranji,Birthday,22,12,781,7,February,2343,Wednesday
105,C063,36,2,11-02-2023,02:57:36,21-02-2023,01:34:10,Guna,Birthday,1,2,203,10,February,406,Saturday
108,C012,26,4,27-02-2023,09:03:26,05-03-2023,08:03:05,Berhampore,Holi,8,9,289,6,February,1156,Monday
109,C074,50,5,27-02-2023,15:35:48,01-03-2023,08:38:56,Gandhidham,Holi,8,15,422,2,February,2110,Monday
114,C009,40,4,03-02-2023,16:03:15,07-02-2023,02:22:48,Kirari Suleman Nagar,Anniversary,2,16,1923,4,February,7692,Friday
118,C035,62,1,27-02-2023,14:30:59,05-03-2023,10:32:52,Bhavnagar,Holi,10,14,1356,6,February,1356,Monday
129,C051,67,2,17-02-2023,05:21:30,20-02-2023,08:17:32,Ramgarh,Anniversary,8,5,1374,3,February,2748,Friday
141,C062,35,4,28-02-2023,03:55:06,10-03-2023,02:31:56,Allahabad,Holi,2,3,1865,10,February,7460,Tuesday
143,C087,66,2,28-02-2023,07:37:18,10-03-2023,14:49:54,Ramagundam,Holi,14,7,610,10,February,1220,Tuesday
152,C084,51,2,27-02-2023,10:48:51,05-03-2023,16:39:22,Tiruppur,All Occasions,16,10,1084,6,February,2168,Monday
156,C030,61,2,09-02-2023,08:20:50,12-02-2023,10:49:14,Ozhukarai,Anniversary,10,8,810,3,February,1620,Thursday
157,C019,35,3,26-02-2023,12:44:17,06-03-2023,11:35:44,Thiruvananthapuram,Holi,11,12,1865,8,February,5595,Sunday
163,C083,54,4,17-02-2023,19:50:10,25-02-2023,10:20:16,Ujjain,Anniversary,10,19,1236,8,February,4944,Friday
179,C078,47,3,28-02-2023,15:16:02,10-03-2023,14:31:07,Vijayanagaram,Holi,14,15,1638,10,February,4914,Tuesday
212,C093,7,2,28-02-2023,07:14:40,05-03-2023,20:01:45,Ozhukarai,Holi,20,7,409,5,February,818,Tuesday
213,C022,42,5,14-02-2023,08:26:18,24-02-2023,08:58:11,Dehradun,All Occasions,8,8,1744,10,February,8720,Tuesday
222,C099,6,5,26-02-2023,05:57:25,07-03-2023,18:20:50,Guntur,Holi,18,5,1112,9,February,5560,Sunday
235,C071,56,2,26-02-2023,14:26:46,03-03-2023,23:26:23,Bhilai,Anniversary,23,14,1272,5,February,2544,Sunday
246,C017,69,5,28-02-2023,23:24:33,08-03-2023,00:38:49,Agra,Holi,0,23,998,8,February,4990,Tuesday
251,C051,7,4,28-02-2023,00:31:48,02-03-2023,00:19:44,Khora,Holi,0,0,409,2,February,1636,Tuesday
252,C040,69,2,26-02-2023,05:41:28,28-02-2023,08:11:16,Nandyal,Holi,8,5,998,2,February,1996,Sunday
285,C082,7,5,26-02-2023,17:26:44,01-03-2023,12:52:20,Tirunelveli,Holi,12,17,409,3,February,2045,Sunday
297,C047,13,3,28-02-2023,20:15:29,05-03-2023,20:52:27,Phagwara,Holi,20,20,1141,5,February,3423,Tuesday
301,C070,6,3,27-02-2023,06:24:22,04-03-2023,16:52:16,Kota,Holi,16,6,1112,5,February,3336,Monday
323,C013,23,2,09-02-2023,18:13:04,10-02-2023,10:22:35,Khora,Anniversary,10,18,1098,1,February,2196,Thursday
324,C073,14,2,02-02-2023,18:47:28,11-02-2023,15:34:54,North Dumdum,Birthday,15,18,1915,9,February,3830,Thursday
333,C100,22,5,09-02-2023,06:19:15,10-02-2023,03:46:29,South Dumdum,All Occasions,3,6,1639,1,February,8195,Thursday
354,C087,13,5,26-02-2023,17:25:28,06-03-2023,09:43:32,Narasaraopet,Holi,9,17,1141,8,February,5705,Sunday
359,C052,47,2,28-02-2023,12:13:36,05-03-2023,20:31:30,Nagpur,Holi,20,12,1638,5,February,3276,Tuesday
375,C091,46,1,11-02-2023,04:16:25,20-02-2023,19:37:38,Mysore,Anniversary,19,4,758,9,February,758,Saturday
407,C074,69,3,26-02-2023,08:52:11,28-02-2023,04:09:44,Jamalpur,Holi,4,8,998,2,February,2994,Sunday
409,C049,50,4,26-02-2023,17:43:59,28-02-2023,19:44:57,Khammam,Holi,19,17,422,2,February,1688,Sunday
414,C034,7,4,28-02-2023,21:18:11,07-03-2023,01:07:31,Raurkela Industrial Township,Holi,1,21,409,7,February,1636,Tuesday
420,C039,6,3,27-02-2023,08:36:20,28-02-2023,00:07:29,Kota,Holi,0,8,1112,1,February,3336,Monday
433,C068,7,5,26-02-2023,23:33:51,02-03-2023,04:19:56,Amravati,Holi,4,23,409,4,February,2045,Sunday
441,C052,26,2,26-02-2023,11:23:56,06-03-2023,16:38:50,Kurnool,Holi,16,11,289,8,February,578,Sunday
447,C032,47,4,27-02-2023,02:45:34,04-03-2023,15:04:56,Bhilwara,Holi,15,2,1638,5,February,6552,Monday
470,C031,47,5,28-02-2023,17:34:04,06-03-2023,15:29:29,Bhavnagar,Holi,15,17,1638,6,February,8190,Tuesday
474,C051,1,4,07-02-2023,06:31:59,14-02-2023,02:00:07,Dibrugarh,All Occasions,2,6,1935,7,February,7740,Tuesday
494,C082,7,4,28-02-2023,03:11:22,08-03-2023,19:06:48,Rewa,Holi,19,3,409,8,February,1636,Tuesday
508,C035,69,1,26-02-2023,17:29:28,04-03-2023,07:11:06,Varanasi,Holi,7,17,998,6,February,998,Sunday
511,C055,47,2,27-02-2023,12:58:05,04-03-2023,00:46:11,Dibrugarh,Holi,0,12,1638,5,February,3276,Monday
522,C011,50,3,27-02-2023,21:04:28,08-03-2023,01:34:50,Avadi,Holi,1,21,422,9,February,1266,Monday
543,C023,51,4,12-02-2023,21:51:10,17-02-2023,11:53:09,Saharanpur,All Occasions,11,21,1084,5,February,4336,Sunday
546,C064,25,3,02-02-2023,22:04:53,11-02-2023,10:00:07,Motihari,Anniversary,10,22,1202,9,February,3606,Thursday
548,C012,25,2,21-02-2023,12:32:50,22-02-2023,19:47:44,Gorakhpur,Anniversary,19,12,1202,1,February,2404,Tuesday
550,C023,29,5,27-02-2023,19:28:12,05-03-2023,17:03:39,Bettiah,Holi,17,19,1252,6,February,6260,Monday
554,C045,29,4,28-02-2023,20:25:07,03-03-2023,16:49:01,Sangli-Miraj & Kupwad,Holi,16,20,1252,3,February,5008,Tuesday
570,C056,69,3,28-02-2023,11:25:04,09-03-2023,00:53:55,Satna,Holi,0,11,998,9,February,2994,Tuesday
571,C046,6,1,28-02-2023,09:38:25,09-03-2023,04:26:01,Bhatpara,Holi,4,9,1112,9,February,1112,Tuesday
617,C083,22,1,19-02-2023,02:53:42,28-02-2023,17:01:34,Uluberia,All Occasions,17,2,1639,9,February,1639,Sunday
625,C089,63,5,23-02-2023,21:15:42,04-03-2023,02:46:06,Belgaum,All Occasions,2,21,1348,9,February,6740,Thursday
627,C024,51,4,05-02-2023,04:30:25,08-02-2023,23:38:12,Sirsa,All Occasions,23,4,1084,3,February,4336,Sunday
630,C071,67,3,21-02-2023,21:37:47,01-03-2023,18:53:08,Karimnagar,Anniversary,18,21,1374,8,February,4122,Tuesday
643,C063,35,2,26-02-2023,13:10:24,06-03-2023,20:24:10,Malda,Holi,20,13,1865,8,February,3730,Sunday
645,C033,50,3,27-02-2023,01:46:39,28-02-2023,02:07:11,Danapur,Holi,2,1,422,1,February,1266,Monday
650,C077,32,3,23-02-2023,01:54:43,02-03-2023,03:09:36,Guwahati,Birthday,3,1,1792,7,February,5376,Thursday
662,C068,20,3,09-02-2023,18:29:52,18-02-2023,08:27:53,Hazaribagh,Anniversary,8,18,697,9,February,2091,Thursday
675,C052,13,4,28-02-2023,08:04:46,09-03-2023,23:52:12,Pali,Holi,23,8,1141,9,February,4564,Tuesday
676,C038,46,4,18-02-2023,12:42:24,20-02-2023,20:52:32,Kanpur,Anniversary,20,12,758,2,February,3032,Saturday
682,C054,50,5,26-02-2023,07:31:16,05-03-2023,11:32:33,Hyderabad,Holi,11,7,422,7,February,2110,Sunday
707,C036,70,4,03-02-2023,06:17:26,12-02-2023,01:04:19,Tirunelveli,Birthday,1,6,866,9,February,3464,Friday
723,C045,14,3,04-02-2023,18:00:57,05-02-2023,00:57:28,Mau,Birthday,0,18,1915,1,February,5745,Saturday
729,C030,17,1,23-02-2023,18:19:53,25-02-2023,11:51:19,Kollam,Anniversary,11,18,1899,2,February,1899,Thursday
735,C037,56,1,02-02-2023,07:22:26,04-02-2023,05:57:58,Nandyal,Anniversary,5,7,1272,2,February,1272,Thursday
755,C037,6,5,27-02-2023,16:33:26,06-03-2023,02:16:52,Aurangabad,Holi,2,16,1112,7,February,5560,Monday
762,C064,50,1,26-02-2023,10:11:19,01-03-2023,03:56:20,Bangalore,Holi,3,10,422,3,February,422,Sunday
775,C077,45,1,19-02-2023,03:48:10,24-02-2023,23:31:47,Anand,Birthday,23,3,722,5,February,722,Sunday
777,C016,70,3,24-02-2023,15:33:57,27-02-2023,11:29:39,Bhusawal,Birthday,11,15,866,3,February,2598,Friday
785,C052,47,5,26-02-2023,17:41:34,01-03-2023,13:09:23,Jodhpur,Holi,13,17,1638,3,February,8190,Sunday
790,C046,26,2,28-02-2023,06:03:29,08-03-2023,04:20:38,Chennai,Holi,4,6,289,8,February,578,Tuesday
806,C088,29,2,28-02-2023,13:01:22,08-03-2023,06:38:58,Jhansi,Holi,6,13,1252,8,February,2504,Tuesday
816,C042,35,3,28-02-2023,19:44:25,10-03-2023,13:41:37,Ujjain,Holi,13,19,1865,10,February,5595,Tuesday
821,C050,32,4,27-02-2023,20:15:31,07-03-2023,22:46:00,Bareilly,Birthday,22,20,1792,8,February,7168,Monday
832,C026,65,4,01-02-2023,18:56:24,10-02-2023,02:19:29,Etawah,All Occasions,2,18,1895,9,February,7580,Wednesday
854,C016,62,3,27-02-2023,02:00:33,02-03-2023,02:51:29,Bhind,Holi,2,2,1356,3,February,4068,Monday
857,C053,63,1,09-02-2023,09:22:18,18-02-2023,14:00:44,Bareilly,All Occasions,14,9,1348,9,February,1348,Thursday
861,C030,32,1,09-02-2023,08:19:31,14-02-2023,02:37:34,Bidar,Birthday,2,8,1792,5,February,1792,Thursday
919,C038,35,5,28-02-2023,08:27:53,04-03-2023,00:05:29,Delhi,Holi,0,8,1865,4,February,9325,Tuesday
923,C034,7,4,27-02-2023,14:37:32,28-02-2023,22:01:37,Ahmedabad,Holi,22,14,409,1,February,1636,Monday
943,C026,22,4,19-02-2023,14:27:09,22-02-2023,19:05:59,Narasaraopet,All Occasions,19,14,1639,3,February,6556,Sunday
